name,brand,stock_status,solutions,review_count,rating,price,difficulty,time_commitment,url,appliance
Refrigerator Ice and Water Filter EDR1RXD1,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
108 Reviews
4.8
Filter By Rating:
5 Stars
92
4 Stars
10
3 Stars
4
2 Stars
1
1 Star
1",108,4.77,76.77,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18,Refrigerator
Refrigerator Door Shelf Bin WPW10321304,Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Ice maker won’t dispense ice | Leaking",346,4.85,36.08,Really Easy ,Less than 15 mins ,https://www.partselect.com/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18,Refrigerator
Refrigerator Crisper Drawer with Humidity Control WP2188656,Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Ice maker not making ice | Leaking | Ice maker won’t dispense ice",486,4.84,75.00,Easy ,Less than 15 mins ,https://www.partselect.com/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-with-Humidity-Control.htm?SourceCode=18,Refrigerator
Refrigerator Water Filter EDR4RXD1,Whirlpool,In Stock,"This part fixes the following symptoms:
Not dispensing water | Ice maker not making ice | Leaking | Ice maker dispenses too little ice",98,4.64,76.77,Easy ,15 - 30 mins ,https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18,Refrigerator
Refrigerator Door Shelf Bin - White WP2187172,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
255 Reviews
4.9
Filter By Rating:
5 Stars
238
4 Stars
13
3 Stars
4
2 Stars
0
1 Star
0",255,4.92,31.89,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11739091-Whirlpool-WP2187172-Refrigerator-Door-Shelf-Bin-White.htm?SourceCode=18,Refrigerator
"Pantry End Cap Kit, LH and RH W10874836",Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Fridge too cold | Noisy",419,4.85,26.89,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11738134-Whirlpool-W10874836-Pantry-End-Cap-Kit-LH-and-RH.htm?SourceCode=18,Refrigerator
Refrigerator Crisper Drawer With Handle WP2188664,Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Leaking",154,4.81,53.89,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11739122-Whirlpool-WP2188664-Refrigerator-Crisper-Drawer-With-Handle.htm?SourceCode=18,Refrigerator
Center Rail WPW10326469,Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Noisy",245,4.83,21.89,Really Easy ,Less than 15 mins ,https://www.partselect.com/PS11752912-Whirlpool-WPW10326469-Center-Rail.htm?SourceCode=18,Refrigerator
Refrigerator Center Crisper Drawer Slide Rail - White WPW10671238,Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Noisy | Fridge too cold | Leaking",203,4.54,47.25,Really Easy ,Less than 15 mins ,https://www.partselect.com/PS11757048-Whirlpool-WPW10671238-Refrigerator-Center-Crisper-Drawer-Slide-Rail-White.htm?SourceCode=18,Refrigerator
Whirlpool EveryDrop3 Refrigerator Water Filter EDR3RXD1,Whirlpool,In Stock,"This part fixes the following symptoms:
Ice maker not making ice | Not dispensing water | Leaking | Ice maker won’t dispense ice",114,4.72,83.93,Easy ,Less than 15 mins ,https://www.partselect.com/PS11722128-Whirlpool-EDR3RXD1-Whirlpool-EveryDrop3-Refrigerator-Water-Filter.htm?SourceCode=18,Refrigerator
Middle Hinge Plug 4047840400,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17807830-Blomberg-4047840400-Middle-Hinge-Plug.htm?SourceCode=18,Refrigerator
Plug 4074170600,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17807871-Blomberg-4074170600-Plug.htm?SourceCode=18,Refrigerator
Power Cord Usa 2150 Mm 4112171300,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,20.95,Not Available,Not Available,https://www.partselect.com/PS17807901-Blomberg-4112171300-Power-Cord-Usa-2150-Mm.htm?SourceCode=18,Refrigerator
Heater Spring (Back) 4214780400,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,58.95,Not Available,Not Available,https://www.partselect.com/PS17808058-Blomberg-4214780400-Heater-Spring-Back.htm?SourceCode=18,Refrigerator
Rear Handle 4227510500,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17808090-Blomberg-4227510500-Rear-Handle.htm?SourceCode=18,Refrigerator
Ice Cube Tray Arc P1 D 4232250100,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,6.77,Not Available,Not Available,https://www.partselect.com/PS17808107-Blomberg-4232250100-Ice-Cube-Tray-Arc-P1-D.htm?SourceCode=18,Refrigerator
Motor House Support-Line 2001. 4250010300,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,6.95,Not Available,Not Available,https://www.partselect.com/PS17808168-Blomberg-4250010300-Motor-House-Support-Line-2001.htm?SourceCode=18,Refrigerator
Cable Assembly 4309290600,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17808263-Blomberg-4309290600-Cable-Assembly.htm?SourceCode=18,Refrigerator
Evaporating Tray 4317100200,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,28.95,Not Available,Not Available,https://www.partselect.com/PS17808288-Blomberg-4317100200-Evaporating-Tray.htm?SourceCode=18,Refrigerator
91cmv3-Glass Shelf Frz Short-294x300x4 4362726400,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,8.95,Not Available,Not Available,https://www.partselect.com/PS17808493-Blomberg-4362726400-91cmv3-Glass-Shelf-Frz-Short-294x300x4.htm?SourceCode=18,Refrigerator
Middle Hinge Plug 4047840400,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17807830-Blomberg-4047840400-Middle-Hinge-Plug.htm?SourceCode=18,Refrigerator
Plug 4074170600,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17807871-Blomberg-4074170600-Plug.htm?SourceCode=18,Refrigerator
Power Cord Usa 2150 Mm 4112171300,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,20.95,Not Available,Not Available,https://www.partselect.com/PS17807901-Blomberg-4112171300-Power-Cord-Usa-2150-Mm.htm?SourceCode=18,Refrigerator
Power Cable Assy 4133841485,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,7.95,Not Available,Not Available,https://www.partselect.com/PS17807917-Blomberg-4133841485-Power-Cable-Assy.htm?SourceCode=18,Refrigerator
Top Hinge Assembly 4152080100,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17807932-Blomberg-4152080100-Top-Hinge-Assembly.htm?SourceCode=18,Refrigerator
Evaporator Holder 4207520100,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,6.95,Not Available,Not Available,https://www.partselect.com/PS17808035-Blomberg-4207520100-Evaporator-Holder.htm?SourceCode=18,Refrigerator
Furniture Fixing Steel 4209800100,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,6.95,Not Available,Not Available,https://www.partselect.com/PS17808046-Blomberg-4209800100-Furniture-Fixing-Steel.htm?SourceCode=18,Refrigerator
Heater Spring (Back) 4214780400,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,58.95,Not Available,Not Available,https://www.partselect.com/PS17808058-Blomberg-4214780400-Heater-Spring-Back.htm?SourceCode=18,Refrigerator
Rear Handle 4227510500,Blomberg,In Stock,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,5.95,Not Available,Not Available,https://www.partselect.com/PS17808090-Blomberg-4227510500-Rear-Handle.htm?SourceCode=18,Refrigerator
Ice Cube Tray Arc P1 D 4232250100,Blomberg,Special Order,"Affresh Washing Machine Cleaner - 3 pack
$12.54
Add to cart
  In Stock
Affresh Dishwasher Cleaner Tablets - 6
$19.04
Add to cart
  In Stock
Affresh Washing Machine Cleaner Tablets – 6 Count
$21.08
Add to cart
  In Stock
Produce Preserver Filter
$21.44
Add to cart
  In Stock
Cooktop Cleaner
$17.69
Add to cart
  In Stock
Refrigerator Deodorizer
$19.17
Add to cart
  In Stock",Not Available,Not Available,6.77,Not Available,Not Available,https://www.partselect.com/PS17808107-Blomberg-4232250100-Ice-Cube-Tray-Arc-P1-D.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS734936-Frigidaire-240534701-Door-Shelf-Retainer-Bar.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS734935-Frigidaire-240534901-Door-Shelf-Retainer-Bar.htm?SourceCode=18,Refrigerator
Refrigerator Door Bin 240323001,Frigidaire,In Stock,"Average Rating:
★★★★★
★★★★★
239 Reviews
4.6
Filter By Rating:
5 Stars
194
4 Stars
24
3 Stars
7
2 Stars
5
1 Star
9",239,4.63,29.89,Easy ,Less than 15 mins ,https://www.partselect.com/PS429724-Frigidaire-240323001-Refrigerator-Door-Bin.htm?SourceCode=18,Refrigerator
Crisper Cover Support - Front 241993101,Frigidaire,In Stock,"This part fixes the following symptoms:
Door won’t open or close",82,4.79,5.75,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS2358880-Frigidaire-241993101-Crisper-Cover-Support-Front.htm?SourceCode=18,Refrigerator
Refrigerator Crisper Drawer with Humidity Control WP2188656,Whirlpool,In Stock,"This part fixes the following symptoms:
Door won’t open or close | Ice maker not making ice | Leaking | Ice maker won’t dispense ice",486,4.84,75.00,Easy ,Less than 15 mins ,https://www.partselect.com/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-with-Humidity-Control.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS11739091-Whirlpool-WP2187172-Refrigerator-Door-Shelf-Bin-White.htm?SourceCode=18,Refrigerator
Access Denied,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,https://www.partselect.com/PS430122-Frigidaire-240356402-Door-Bin-Clear.htm?SourceCode=18,Refrigerator
